Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2018-11-06,0.6162760270975977,0.7170753046364307,0.6355530430896409,0.5545632339376284,0.7786311168683361,0.6023256438148602,0.8290493207031352,0.7744995896304405,0.8047786902506159,0.6934399649410729,0.7832032129084173,0.780590675763594,0.5886605271151734,0.6936937998069497,0.7498886500673129,0.7474016143887776,0.8121743016792937,0.6205814507917347,0.4477071910417765,0.6946000386431553,0.8381971231342799,0.6557976936470008,0.6575107696668433,0.6834035329557174,0.5229721769242889,0.6502533392977795,0.666789051685066,,0.7260091100314433,0.6826207074033931,0.8324598793484631,0.5469960259403425,0.7928679226020451
2018-11-07,0.6162760270975977,0.7211660669358158,0.6355530430896409,0.561204244062403,0.7694662265854394,0.5936590663190559,0.8281097822705091,0.7744995896304405,0.8014283585433994,0.6890952437729915,0.7761506452717776,0.7762291427413724,0.5993290873899463,0.693439251440877,0.7484021112519175,0.7395035396851778,0.8141241471906544,0.6322990527039417,0.44230120670928424,0.6927695814746798,0.8315046323075369,0.6561062886126726,0.6577445234923551,0.6920193642219149,0.5229721769242889,0.6500991048406887,0.666789051685066,,0.7261454480787645,0.6826207074033931,0.8299637633689237,0.519237651850807,0.7838034821662022
2018-11-08,0.6241412430768455,0.7226961850593107,0.6500979210870292,0.5674681105165543,0.7694662265854394,0.5936590663190559,0.831949963315509,0.7843850752187734,0.8047786902506159,0.6901077719288743,0.7832032129084173,0.7835097314454993,0.5993290873899463,0.6984293321071169,0.7484021112519175,0.7432039059989214,0.8129629345598427,0.638466457002928,0.4366594072638963,0.6946000386431553,0.8381971231342799,0.6676036310720551,0.6577445234923551,0.7055886047054877,0.5249218834071073,0.6500991048406887,0.6703019853506472,,0.7294393964857395,0.6966763745857992,0.8226321854517412,0.5230790878498798,0.7770693485070544
2018-11-09,0.621038875686748,0.7240524550127304,0.6472459382695531,0.5733784603751072,0.7696547512084545,0.5947677904179135,0.8333843244961434,0.7864810817749711,0.8102049863133519,0.6901077719288743,0.7846855879303615,0.785675358609072,0.5993290873899463,0.698772647860408,0.744555253647782,0.7430242573203913,0.8129629345598427,0.6325978357824674,0.44230120670928424,0.6915319335624245,0.8408337714702511,0.6676036310720551,0.663506579443757,0.7041730234044584,0.5249218834071073,0.6502533392977795,0.6703019853506472,,0.7177938111779371,0.6966763745857992,0.8225317356046874,0.519237651850807,0.779192738059749
2018-11-12,0.6241412430768455,0.7252362585146915,0.6567640053413063,0.5750344274191854,0.7718029202046875,0.6003651174601812,0.8384821961773335,0.7942629032462025,0.8102049863133519,0.7036021712722871,0.7859519502101094,0.7907715429439562,0.5993290873899463,0.7019474625853176,0.7421809253978712,0.7432039059989214,0.8135252628623322,0.638466457002928,0.4477071910417765,0.6984832397410804,0.8416224043508,0.6725633521146973,0.663506579443757,0.7041730234044584,0.5249218834071073,0.6502533392977795,0.6670885891445497,,0.7040791523816997,0.6966763745857992,0.8226321854517412,0.5151971007105934,0.77879582293409
2018-11-13,0.6355837536841363,0.7337786880726291,0.668333761303575,0.5929775713182514,0.7809678104875841,0.6056237864672912,0.8444429987722176,0.8011639512191985,0.8143990783422371,0.7150231755710372,0.7859519502101094,0.7907715429439562,0.6091768603119164,0.7019474625853176,0.7395743709005979,0.7472179524064483,0.8117662629728551,0.6380124437245916,0.452885923792979,0.7012870940079935,0.8416224043508,0.6770928070894202,0.6690081121262258,0.7041730234044584,0.5229721769242889,0.6500991048406887,0.6670885891445497,,0.7040791523816997,0.7037987553502417,0.8268261131115421,0.5195494320076953,0.7810394182106938
2018-11-14,0.6386282907773967,0.734716375088352,0.668333761303575,0.5912261779938025,0.7809678104875841,0.6064502270185537,0.8455643513610868,0.8011639512191985,0.8181624760578515,0.7220119416125949,0.7859519502101094,0.7907715429439562,0.6091768603119164,0.7019474625853176,0.7421809253978712,0.7472179524064483,0.8117662629728551,0.6380124437245916,0.452885923792979,0.7044619087329029,0.8398385526190841,0.6771723264578413,0.6804291164249759,0.7120015247317962,0.5229721769242889,0.6560949146176025,0.6704488159311897,,0.7039428143343786,0.701783217772498,0.8268261131115421,0.5195494320076954,0.7875227118846967
2018-11-15,0.6450439904590524,0.730228697663308,0.6712510530418577,0.5893163266849829,0.7893616409622141,0.6064502270185537,0.847148341207752,0.8001995914927426,0.8181624760578515,0.7268937663587787,0.7859519502101094,0.7907715429439562,0.6129652855295586,0.7015132655407147,0.7395743709005979,0.7508842680889211,0.8051769375065283,0.6467002915951937,0.452885923792979,0.7073448728203298,0.8348369934523485,0.6814471490501544,0.6805086357933968,0.7192065818256964,0.5229721769242889,0.6558611607920906,0.6704488159311897,,0.711991575114541,0.701783217772498,0.8268261131115421,0.5195494320076954,0.789504887101285
2018-11-16,0.6496100452329424,0.7354822976630718,0.668333761303575,0.5929435249846225,0.7964762358866961,0.6071255321538531,0.8436046779308054,0.7148098826572681,0.8243298803568381,0.7275022732686187,0.7932633980389475,0.7913715435556038,0.6190019105913668,0.7030101078748051,0.7395743709005979,0.7548432800888737,0.8051769375065283,0.6521784726040097,0.452885923792979,0.7143311134123156,0.8366208451840644,0.6884135789565818,0.6856048201282811,0.7179377123329939,0.5208709148798344,0.6615095225597266,0.6670885891445497,,0.711991575114541,0.7076744237718872,0.8251283014312808,0.5195494320076954,0.7879302325223089
2018-11-19,0.6496100452329424,0.7354822976630718,0.6712510530418577,0.5929435249846225,0.7961824861214531,0.6071255321538531,0.8436046779308054,0.7154903079124364,0.8243298803568381,0.7234882268610919,0.7916018175196801,0.7886854351488046,0.6129652855295586,0.7030101078748051,0.7411023507635628,0.7511429137751301,0.8065805791984283,0.6568995664591794,0.45784512761261165,0.7143311134123156,0.8343755091328067,0.6884135789565818,0.5109780832854713,0.7179377123329939,0.5208709148798344,0.6555137127828129,0.663666800760401,,0.7230247229630734,0.7096241537175131,0.8226321854517412,0.519237651850807,0.7844061995830852
