Date,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOG,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM
2014-10-31,0.011476966532010866,0.010570041624516564,0.019356503219965484,0.02039703995607208,0.012864888046996726,0.008421602960956143,0.011192597784240402,0.010518289426327045,0.009324011655177981,0.008837067274048743,0.01211818194202903,0.01219709771303781,0.010526743359555935,0.015865557733661884,0.00905648831419051,0.010666735787582472,0.009203935093217154,0.009582719171539055,0.01828700676533826,0.008773167690316667,0.011143577061144832,0.010635865721635974,0.016092260842928988,0.008604399794095857,0.006944671459680623,0.007317616513283274,0.027061427753941356,0.022485320231838513,0.011333681175673278,0.013224845939775168,0.008937598133882826,0.0074951221409706335,0.008848465147535936
2014-11-03,0.011445298724526622,0.01060564850411371,0.019441504683322133,0.02077893709070751,0.012831910627809485,0.008355482132503589,0.011150073285219858,0.010610126655909857,0.009549980413637879,0.008845002118041363,0.012196763140248966,0.012251318020648208,0.010527441849212163,0.01629843996418004,0.009056299032267082,0.01054009809632804,0.009248503750868711,0.009602038453716138,0.018283826847444447,0.008883184916814618,0.011168924538259569,0.010734585504202176,0.016562529550969554,0.008296859282260004,0.0069440001562641185,0.007360187788330675,0.026982792929575786,0.022436221436941652,0.011369334515074566,0.013289452061788672,0.008994682452660116,0.007477291380974771,0.009074714938487856
2014-11-04,0.011428023963338304,0.00993258197682023,0.01909083073999609,0.020373978934161745,0.01265236627613212,0.008234909367111614,0.01102828718247375,0.010568126675024382,0.009829258603517453,0.008755614268938266,0.012015354482667573,0.012074966695776458,0.010516573825763006,0.016308560630281216,0.009048301658527658,0.010436765398221888,0.00922902108006578,0.00958562363420285,0.01788079586400132,0.008918248667645713,0.011021855336234534,0.010718333755797796,0.016517672379767916,0.008169157273724505,0.006910118918982972,0.007328685462698934,0.02668847233043277,0.02245672051669515,0.011372912798343513,0.013260091226069484,0.008957050624876797,0.007445720227885705,0.009166549117365799
2014-11-05,0.011448166844803155,0.009766740880782478,0.019057003554507256,0.020390152116618213,0.01265601217092798,0.008048865337136609,0.011029180319612801,0.010604463050564252,0.00983923150809188,0.008677889525348129,0.011979223215298837,0.012045300217317229,0.010546380324953572,0.01630975375297832,0.009014410617331353,0.010430192959537114,0.009185599088008353,0.009581272256732042,0.017896824280028208,0.008935030802653857,0.010850420068594567,0.01070032698192826,0.016553309588223878,0.008157548603057112,0.006947097095368273,0.007298644848538435,0.026593021033848762,0.022892145734262924,0.010974348127443844,0.013199232875196542,0.008890265890194505,0.007517887671365991,0.009179687263304625
2014-11-06,0.011443403714548793,0.009711701787338243,0.01910134725240145,0.020383184594202713,0.012650672386615032,0.008033056685549359,0.011080149826780641,0.010629839621978141,0.00990046654964392,0.008683019245435596,0.012057976556974161,0.01211851588589773,0.010552077412031633,0.016389788994024573,0.009004618016715914,0.010495453519167742,0.009231248074676486,0.009577904172292836,0.017904938203721257,0.008944974554384496,0.010721398611399459,0.010700343263806898,0.016523657201212766,0.008146523561331458,0.006953330248534501,0.007128098281624771,0.024723666059589273,0.023151641526517115,0.0109104935990086,0.01337150922682579,0.008939967353718692,0.007488408546571543,0.009174568824151932
2014-11-07,0.011428497607389829,0.009711835633389468,0.0190640125532362,0.020376865104294758,0.012587856915030917,0.008025093646912375,0.011074411672906312,0.010634089891839144,0.009967824008981822,0.008880683305015983,0.012000344377813369,0.012094024596585226,0.01054407131183671,0.016386420592979484,0.009000176727587001,0.010473617862227686,0.009227738368896048,0.009573887965293569,0.017897666723479567,0.00895960974964613,0.010720689664071576,0.010786701805888702,0.01637074950833236,0.008133204644808332,0.0069530080119982,0.00714484296071449,0.02495407719268829,0.023166429781884164,0.010912133264746866,0.013370623973966758,0.008960861152260188,0.007466786168919078,0.009241604081805474
2014-11-10,0.011391817029368157,0.009533811292977841,0.01881376305773357,0.020467889614388207,0.012446557354084294,0.008024939107082537,0.011077181878561165,0.010619559278442731,0.009968887749105664,0.008763447335155225,0.011858935165099324,0.011931806214435856,0.010475858828679692,0.016407438395502776,0.009020423741305647,0.01043261268227467,0.009226572300102936,0.009591420384460755,0.017483137489203167,0.00896565827569314,0.010720640664809966,0.010757698466682817,0.016292763611113904,0.008138240391287304,0.006910139911559236,0.0071547867597057295,0.024942712161836612,0.02313883972970697,0.011185802171906095,0.013386883607648345,0.008895822878962784,0.007547818387959576,0.009289035903461772
2014-11-11,0.011396727991012314,0.00950050361646385,0.018870782710533822,0.02047069424823599,0.012441818336441045,0.008058555315297122,0.011076439748074018,0.010557268998092452,0.009978592466791931,0.00876271198844801,0.011894159309931176,0.011964680999399041,0.010513200087933708,0.016440218030584264,0.00902351781739757,0.010447007110774358,0.009207866273642952,0.009725855879104909,0.017504388756060266,0.008959871729822426,0.010733165434941527,0.010657464465988834,0.016250778529938375,0.008175548254470356,0.006911345460597171,0.00711903336261624,0.0248256969050507,0.023135112571353696,0.011223678086050036,0.013418327506196509,0.008896205929170852,0.007585365928684516,0.009291565556539802
2014-11-12,0.011407359625113892,0.009451785216522136,0.018859401103971843,0.020464478760992996,0.012384849293182537,0.008052660778021267,0.011058925496093532,0.010553895648666415,0.009978132695920992,0.008751751660063735,0.011849746131464094,0.011911845391975566,0.010402721794545721,0.016429634619310025,0.009021308705061657,0.010473354774761398,0.009195801075802881,0.009754982387655894,0.017483234413456193,0.009009103515225426,0.010721564951533395,0.010645121727043105,0.016263245773436522,0.008174143581075877,0.006889752474241565,0.007103503992115338,0.025027499062311834,0.023141102627601006,0.011187997138354774,0.013392215178547776,0.008852699769847488,0.0075873857917687524,0.009292714762185239
2014-11-13,0.011415973915480129,0.009407833579569225,0.018844184233866797,0.020455401558720242,0.012245546268064417,0.008004053075422735,0.011014667743332245,0.009123695507028986,0.009937772283931003,0.00874725049542835,0.011803221452069124,0.011887850583517061,0.010377659799855917,0.01637965686606008,0.009020641399449345,0.010444351334257742,0.009163501963582954,0.009307796504614349,0.017348854012782557,0.008975016844887256,0.010691401697624458,0.01053274227568975,0.016267770926115623,0.008176180435604193,0.006849719754452069,0.007137575262890587,0.025017092848668047,0.02313632263106641,0.01114748296921695,0.013366786631777304,0.008836982952006807,0.007267507120800026,0.009248990606133605
2014-11-14,0.011410505125311358,0.009388576717102425,0.018880820763887696,0.020449708433214437,0.012249678347987158,0.008008674571919117,0.011011865075363017,0.009313797696382542,0.00996790721372431,0.008751284727683873,0.01180838359399842,0.011891030116180817,0.010386380441543714,0.016368167928214314,0.009021173102974088,0.010451863605953562,0.00913205874491918,0.00931086331125264,0.017365219254760603,0.008885479955984658,0.010694878806905268,0.010614205555136686,0.01627483007574619,0.008175158848639329,0.0069105202804192415,0.007136957754619111,0.02499909615345021,0.02317259352362334,0.011147502108190804,0.013347840519245865,0.008842932285855448,0.008381859708508589,0.0092716153217573
