Date,Top 10 tickers,Top 10 raw tickers,Top 10 count
2002-04-30,"GE, MSFT, XOM, WMT, PFE, C, JNJ, INTC, AIG, IBM","GE, MSFT, XOM, WMT, PFE, C, JNJ, INTC, AIG, IBM",10
2002-05-31,"GE, MSFT, XOM, WMT, C, PFE, JNJ, INTC, AIG, KO","GE, MSFT, XOM, WMT, C, PFE, JNJ, INTC, AIG, KO",10
2002-06-30,"MSFT, GE, XOM, WMT, PFE, C, AIG, JNJ, KO, IBM","MSFT, GE, XOM, WMT, PFE, C, AIG, JNJ, KO, IBM",10
2002-07-31,"GE, MSFT, XOM, WMT, PFE, C, AIG, JNJ, INTC, KO","GE, MSFT, XOM, WMT, PFE, C, AIG, JNJ, INTC, KO",10
2002-08-31,"GE, MSFT, XOM, WMT, PFE, C, AIG, JNJ, IBM, KO","GE, MSFT, XOM, WMT, PFE, C, AIG, JNJ, IBM, KO",10
2002-09-30,"GE, MSFT, WMT, XOM, PFE, JNJ, C, AIG, KO, PG","GE, MSFT, WMT, XOM, PFE, JNJ, C, AIG, KO, PG",10
2002-10-31,"MSFT, GE, WMT, XOM, PFE, C, JNJ, AIG, IBM, MRK","MSFT, GE, WMT, XOM, PFE, C, JNJ, AIG, IBM, MRK",10
2002-11-30,"MSFT, GE, WMT, XOM, C, PFE, AIG, JNJ, IBM, INTC","MSFT, GE, WMT, XOM, C, PFE, AIG, JNJ, IBM, INTC",10
2002-12-31,"MSFT, GE, XOM, WMT, PFE, C, JNJ, AIG, IBM, MRK","MSFT, GE, XOM, WMT, PFE, C, JNJ, AIG, IBM, MRK",10
2003-01-31,"MSFT, GE, XOM, WMT, PFE, C, JNJ, AIG, IBM, MRK","MSFT, GE, XOM, WMT, PFE, C, JNJ, AIG, IBM, MRK",10
2003-02-28,"MSFT, GE, XOM, WMT, PFE, C, JNJ, IBM, AIG, MRK","MSFT, GE, XOM, WMT, PFE, C, JNJ, IBM, AIG, MRK",10
2003-03-31,"MSFT, GE, XOM, WMT, PFE, C, JNJ, IBM, AIG, MRK","MSFT, GE, XOM, WMT, PFE, C, JNJ, IBM, AIG, MRK",10
